time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.7208,WARMUP,RR,-179.375,-177.0,-220.0,-179.265,-176.999,-219.905,38.357,38.346,-56.777,-56.79
0.7208,WARMUP,RL,-179.375,177.0,-220.0,-179.226,177.001,-219.88,38.369,38.354,-56.781,-56.819
0.7417,WARMUP,FR,179.375,-177.0,-220.0,179.386,-177.0,-220.099,38.247,38.247,-56.593,-56.592
0.7417,WARMUP,FL,179.375,177.0,-220.0,179.542,177.0,-220.003,38.286,38.27,-56.683,-56.694
0.7417,WARMUP,RR,-179.375,-177.0,-220.0,-179.323,-177.0,-219.894,38.368,38.364,-56.781,-56.796
0.7417,WARMUP,RL,-179.375,177.0,-220.0,-179.283,177.0,-219.874,38.369,38.365,-56.781,-56.815
0.7625,WARMUP,FR,179.375,-177.0,-220.0,179.391,-177.0,-220.087,38.253,38.253,-56.603,-56.602
0.7625,WARMUP,FL,179.375,177.0,-220.0,179.547,177.0,-220.001,38.288,38.271,-56.687,-56.697
0.7625,WARMUP,RR,-179.375,-177.0,-220.0,-179.316,-177.0,-219.9,38.363,38.358,-56.78,-56.789
0.7625,WARMUP,RL,-179.375,177.0,-220.0,-179.277,177.0,-219.873,38.369,38.365,-56.781,-56.817
0.7833,WARMUP,FR,179.375,-177.0,-220.0,179.403,-177.0,-220.073,38.258,38.258,-56.615,-56.615
0.7833,WARMUP,FL,179.375,177.0,-220.0,179.56,177.0,-219.997,38.289,38.271,-56.69,-56.702
0.7833,WARMUP,RR,-179.375,-177.0,-220.0,-179.303,-177.0,-219.895,38.364,38.357,-56.781,-56.793
0.7833,WARMUP,RL,-179.375,177.0,-220.0,-179.265,177.0,-219.867,38.37,38.366,-56.783,-56.824
0.8042,WARMUP,FR,179.375,-177.0,-220.0,179.397,-177.0,-220.061,38.266,38.265,-56.626,-56.626
0.8042,WARMUP,FL,179.375,177.0,-220.0,179.555,177.0,-219.996,38.29,38.272,-56.691,-56.702
0.8042,WARMUP,RR,-179.375,-177.0,-220.0,-179.307,-177.0,-219.897,38.363,38.357,-56.78,-56.791
0.8042,WARMUP,RL,-179.375,177.0,-220.0,-179.269,177.0,-219.867,38.371,38.368,-56.784,-56.824
0.8208,WARMUP,FR,179.375,-177.0,-220.0,179.396,-177.0,-220.052,38.271,38.271,-56.634,-56.634
0.8208,WARMUP,FL,179.375,177.0,-220.0,179.554,177.0,-219.995,38.291,38.273,-56.692,-56.704
0.8208,WARMUP,RR,-179.375,-177.0,-220.0,-179.307,-177.0,-219.897,38.363,38.357,-56.78,-56.791
0.8208,WARMUP,RL,-179.375,177.0,-220.0,-179.27,177.0,-219.868,38.37,38.367,-56.783,-56.823
0.8417,WARMUP,FR,179.375,-177.0,-220.0,179.396,-177.0,-220.042,38.278,38.277,-56.644,-56.644
0.8417,WARMUP,FL,179.375,177.0,-220.0,179.555,177.0,-219.992,38.292,38.275,-56.695,-56.706
0.8417,WARMUP,RR,-179.375,-177.0,-220.0,-179.307,-177.0,-219.896,38.364,38.357,-56.781,-56.791
0.8417,WARMUP,RL,-179.375,177.0,-220.0,-179.269,177.0,-219.869,38.37,38.366,-56.782,-56.822
0.8625,WARMUP,FR,179.375,-177.0,-220.0,179.395,-177.0,-220.033,38.283,38.283,-56.652,-56.652
0.8625,WARMUP,FL,179.375,177.0,-220.0,179.553,177.0,-219.989,38.294,38.277,-56.697,-56.709
0.8625,WARMUP,RR,-179.375,-177.0,-220.0,-179.307,-177.0,-219.895,38.364,38.358,-56.781,-56.792
0.8625,WARMUP,RL,-179.375,177.0,-220.0,-179.269,177.0,-219.87,38.369,38.366,-56.781,-56.821
0.8833,WARMUP,FR,179.375,-177.0,-220.0,179.393,-177.0,-220.025,38.288,38.288,-56.66,-56.66
0.8833,WARMUP,FL,179.375,177.0,-220.0,179.552,177.0,-219.987,38.296,38.279,-56.7,-56.711
0.8833,WARMUP,RR,-179.375,-177.0,-220.0,-179.308,-177.0,-219.895,38.365,38.358,-56.781,-56.793
0.8833,WARMUP,RL,-179.375,177.0,-220.0,-179.27,177.0,-219.871,38.369,38.365,-56.781,-56.82
0.9042,WARMUP,FR,179.375,-177.0,-220.0,179.393,-177.0,-220.019,38.292,38.292,-56.666,-56.666
0.9042,WARMUP,FL,179.375,177.0,-220.0,179.551,177.0,-219.983,38.298,38.281,-56.703,-56.715
0.9042,WARMUP,RR,-179.375,-177.0,-220.0,-179.308,-177.0,-219.894,38.365,38.359,-56.781,-56.794
0.9042,WARMUP,RL,-179.375,177.0,-220.0,-179.271,177.0,-219.871,38.369,38.365,-56.781,-56.819
0.9208,WARMUP,FR,179.375,-177.0,-220.0,179.392,-177.0,-220.014,38.295,38.295,-56.671,-56.671
0.9208,WARMUP,FL,179.375,177.0,-220.0,179.55,177.0,-219.98,38.3,38.283,-56.706,-56.717
0.9208,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.893,38.366,38.359,-56.781,-56.794
0.9208,WARMUP,RL,-179.375,177.0,-220.0,-179.271,177.0,-219.871,38.369,38.365,-56.781,-56.819
0.9417,WARMUP,FR,179.375,-177.0,-220.0,179.391,-177.0,-220.009,38.299,38.298,-56.675,-56.676
0.9417,WARMUP,FL,179.375,177.0,-220.0,179.549,177.0,-219.977,38.302,38.285,-56.709,-56.721
0.9417,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.893,38.366,38.359,-56.781,-56.794
0.9417,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.819
0.9625,WARMUP,FR,179.375,-177.0,-220.0,179.391,-177.0,-220.004,38.301,38.301,-56.68,-56.68
0.9625,WARMUP,FL,179.375,177.0,-220.0,179.549,177.0,-219.974,38.304,38.287,-56.713,-56.724
0.9625,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.893,38.366,38.36,-56.781,-56.795
0.9625,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.819
0.9833,WARMUP,FR,179.375,-177.0,-220.0,179.391,-177.0,-220.0,38.304,38.304,-56.684,-56.685
0.9833,WARMUP,FL,179.375,177.0,-220.0,179.548,177.0,-219.97,38.306,38.289,-56.716,-56.727
0.9833,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.892,38.366,38.36,-56.782,-56.795
